89
543355	850	900
543562	600	750
543792	700	800
543968	650	800
544079	650	700
544327	700	800
544496	750	800
544930	750	800
545304	800	850
545314	700	750
545389	850	950
546647	750	800
547643	800	900
547675	600	850
547699	600	700
547750	400	500
547898	800	900
548233	850	950
548269	900	950
548349	650	800
548355	800	900
548398	650	900
549093	650	700
549109	700	800
549652	650	850
549662	650	800
550174	750	650
551078	650	750
551103	850	900
551130	700	800
551371	750	850
551712	900	950
551973	700	850
552824	700	800
553051	850	900
553070	650	700
553288	750	900
553541	600	700
553612	750	850
553654	250	300
553723	0	300
554342	600	800
554433	0	800
554548	700	850
554866	750	800
554902	550	600
555089	700	750
556069	550	700
556368	700	800
556811	600	650
557140	500	600
558315	650	750
558735	750	850
558914	700	800
559488	650	700
560120	650	850
560464	600	750
563549	950	1000
564179	750	800
564942	650	700
565159	900	950
565765	850	950
566021	800	850
569258	850	1000
570082	750	800
570290	750	800
570585	650	750
571593	850	950
574092	750	850
574396	850	900
574628	700	750
578138	650	750
578308	700	800
578388	700	750
578872	900	950
580097	600	650
580370	650	700
582683	850	950
583022	850	900
585704	0	400
587482	800	850
590601	750	850
590633	750	800
590677	850	900
590789	850	900
591123	600	750
591824	700	750
592396	550	600
592633	750	800
